date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2024-09-10,536.0987548828125,Trend,-11,112.4230610987684,966745.718707135,0.10220278281706219,0.02547410369711495,35.35258060065734,355.09346208579865,0.004267149604473497
2024-09-11,541.5985107421875,Trend,-7,268.52874749099726,971854.9654464144,0.3836124964157104,0.023752577578218304,29.407883660220364,30.0832476254159,0.005284995465107745
2024-09-12,546.1605834960938,Trend,-19,1216.668652948822,955098.1894786316,0.6403519226046432,0.020154697051263906,20.174472263227724,170.69124605860515,-0.01724205417840896
2024-09-13,549.0130004882812,Trend,-18,1422.0619174491112,957469.805964757,0.7900343985828395,0.01549246128365391,12.575927722247123,35.231625732423325,0.0024831127440625433
2024-09-16,549.8238525390625,Trend,-20,1796.275774942658,955579.5994651988,0.898137887471329,0.011116187156691703,6.278801275643219,64.5181979610476,-0.0019741682586570386
2024-09-17,550.0484619140625,Trend,-20,1912.7800243879456,956264.6823141584,0.9563900121939728,0.00677785598884579,2.5526388612769395,19.224894964149804,0.0007169291279796042
2024-09-18,548.4170532226562,Trend,-20,1980.938551187937,956804.9768882336,0.9904692755939686,0.0026200370993271476,0.4785946572190817,11.21378952589463,0.000565005258552187
2024-09-19,557.7755737304688,Trend,10,67.24627827810487,1014486.7944027706,-0.06724627827810487,0.025653869358558172,36.9549139223934,353.8112582984989,0.060285866929886245
2024-09-20,556.811279296875,Trend,-11,-146.29509075170387,989119.1313778309,-0.1329955370470035,0.02746315956162612,33.79898660608411,57.672230579754014,-0.025005414722893193
2024-09-23,558.2028198242188,Trend,-9,-64.37429631294984,992455.049034349,-0.0715269959032776,0.031039166614426433,31.24187261972235,15.568541070847738,0.003372614633255777
2024-09-24,559.7999267578125,Trend,-12,26.679878608630503,990894.3331963472,0.022233232173858752,0.03571562991643487,28.12574120031666,17.6969500176972,-0.0015725808836585253
2024-09-25,558.5653076171875,Trend,16,138.7552953326865,1013923.3092787563,-0.08672205958292906,0.04111933156842153,24.16957177076017,38.32611536751301,0.023240597216984904
2024-09-26,560.77978515625,Trend,20,-208.04594451644743,1014498.0190725855,0.10402297225822371,0.04988696822668548,19.76082956685346,60.63658349091241,0.0005668178140987301
2024-09-27,559.9664916992188,Trend,20,-27.083838390262738,1010708.0931702538,0.013541919195131369,0.07225699016697144,14.070491820467044,30.3998147093944,-0.003735764714253742
2024-09-30,562.21044921875,Range,10,-167.62724626988978,1013703.0584791632,0.16762724626988978,0.026553800825962943,36.55355291459584,55.891020232994656,0.002963234715490648
2024-10-01,557.1738891601562,Range,11,132.11555015753615,1014699.5174985618,-0.12010504559776014,0.028988599113915704,33.90925794770135,51.094639971713754,0.000982989062786821
2024-10-02,557.4091186523438,Range,-13,-200.11957154736226,991646.8918425149,-0.15393813195950945,0.03814276696768138,30.738596936984784,73.64449644313727,-0.02271867213741885
2024-10-03,556.3900146484375,Range,-15,-400.7311875900786,991046.6136268093,-0.2671541250600524,0.0411028639478843,26.38264267845377,34.88411039079955,-0.000605334641436972
2024-10-04,561.4461059570312,Range,-16,281.4861880398073,989957.4087851465,0.17592886752487957,0.04786659619853205,23.8422108918357,115.50489061316738,-0.0010990450163355092
2024-10-07,556.3704223632812,Range,-15,-663.8940420284904,990857.868874088,-0.44259602801899356,0.05814295394842845,16.647254178823342,158.28139497615862,0.0009095947774626634
2024-10-08,561.63232421875,Range,7,-233.7294528384276,997865.3656849717,0.33389921834061087,0.08964341204752366,12.859666560456505,79.45082277702447,0.007072151345829392
2024-10-09,565.5223999023438,Range,10,-97.36265877118095,1003206.2794634311,0.09736265877118094,0.03628901755598975,37.32149885059084,36.525640149802456,0.005352339065093359
2024-10-10,564.5327758789062,Range,11,-19.967011054628774,1003124.7799143781,0.018151828231480704,0.04076058470454385,34.74258877970374,13.810340341834483,-8.123907387880269e-05
2024-10-11,567.9132080078125,Range,13,-400.0865763105968,1004217.7104581562,0.30775890485430524,0.04175922697334189,29.509124000248583,66.12136642692444,0.0010895260147709696
2024-10-14,572.557861328125,Range,-20,1360.4464904842657,973543.8900917104,0.6802232452421328,0.029965833103636905,17.543407359740435,330.1288806378388,-0.030544990440819264
2024-10-15,568.1093139648438,Range,-13,470.17269518671776,977566.7239336458,0.3616713039897829,0.048385587066719936,22.142516975031498,155.82227400673145,0.0041321545775983015
2024-10-16,570.5784912109375,Range,-20,1327.6630013227066,973269.8957992106,0.6638315006613533,0.04135748670633407,12.769721994776251,151.11003000817365,-0.004395432075618322
